"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 15:45:36 GMT 2022","Sun Mar 13 15:45:38 GMT 2022","1986","chromium","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:45:55 GMT 2022","Sun Mar 13 15:45:57 GMT 2022","2039","firefox","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:45:49 GMT 2022","Sun Mar 13 15:45:51 GMT 2022","2588","firefox","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:45:34 GMT 2022","Sun Mar 13 15:45:36 GMT 2022","1793","chromium","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:46:01 GMT 2022","Sun Mar 13 15:46:04 GMT 2022","2999","webkit","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:46:04 GMT 2022","Sun Mar 13 15:46:07 GMT 2022","3569","webkit","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:45:51 GMT 2022","Sun Mar 13 15:45:55 GMT 2022","3076","firefox","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:45:41 GMT 2022","Sun Mar 13 15:45:42 GMT 2022","1383","chromium","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:46:17 GMT 2022","Sun Mar 13 15:46:20 GMT 2022","2840","webkit","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:45:47 GMT 2022","Sun Mar 13 15:45:49 GMT 2022","1923","firefox","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:45:43 GMT 2022","Sun Mar 13 15:45:46 GMT 2022","2821","firefox","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:46:07 GMT 2022","Sun Mar 13 15:46:17 GMT 2022","9504","webkit","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:45:38 GMT 2022","Sun Mar 13 15:45:41 GMT 2022","3350","chromium","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:45:32 GMT 2022","Sun Mar 13 15:45:33 GMT 2022","858","chromium","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:45:58 GMT 2022","Sun Mar 13 15:46:00 GMT 2022","1892","webkit","authentication.spec.js","Authentication","","","Invalid authentication",""
