"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 15:47:31 GMT 2022","Sun Mar 13 15:47:34 GMT 2022","2809","webkit","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:47:27 GMT 2022","Sun Mar 13 15:47:30 GMT 2022","3170","webkit","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:47:05 GMT 2022","Sun Mar 13 15:47:07 GMT 2022","1585","chromium","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:47:24 GMT 2022","Sun Mar 13 15:47:26 GMT 2022","1934","firefox","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:47:09 GMT 2022","Sun Mar 13 15:47:12 GMT 2022","3089","chromium","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:47:14 GMT 2022","Sun Mar 13 15:47:16 GMT 2022","2501","firefox","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:47:38 GMT 2022","Sun Mar 13 15:47:46 GMT 2022","8226","webkit","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:47:07 GMT 2022","Sun Mar 13 15:47:09 GMT 2022","1978","chromium","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:47:03 GMT 2022","Sun Mar 13 15:47:04 GMT 2022","795","chromium","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:47:19 GMT 2022","Sun Mar 13 15:47:22 GMT 2022","2373","firefox","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:47:34 GMT 2022","Sun Mar 13 15:47:38 GMT 2022","3444","webkit","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:47:46 GMT 2022","Sun Mar 13 15:47:48 GMT 2022","2486","webkit","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:47:17 GMT 2022","Sun Mar 13 15:47:19 GMT 2022","1916","firefox","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:47:22 GMT 2022","Sun Mar 13 15:47:24 GMT 2022","2763","firefox","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:47:12 GMT 2022","Sun Mar 13 15:47:13 GMT 2022","1463","chromium","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
