"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 06:42:58 GMT 2022","Thu Mar 17 06:43:02 GMT 2022","4351","webkit","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Thu Mar 17 06:42:50 GMT 2022","Thu Mar 17 06:42:52 GMT 2022","2459","firefox","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Thu Mar 17 06:42:38 GMT 2022","Thu Mar 17 06:42:40 GMT 2022","1699","chromium","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Thu Mar 17 06:42:48 GMT 2022","Thu Mar 17 06:42:50 GMT 2022","1754","firefox","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Thu Mar 17 06:42:37 GMT 2022","Thu Mar 17 06:42:38 GMT 2022","1457","chromium","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Thu Mar 17 06:42:45 GMT 2022","Thu Mar 17 06:42:47 GMT 2022","2402","firefox","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Thu Mar 17 06:43:03 GMT 2022","Thu Mar 17 06:43:06 GMT 2022","2858","webkit","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Thu Mar 17 06:42:55 GMT 2022","Thu Mar 17 06:42:57 GMT 2022","1867","firefox","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Thu Mar 17 06:42:40 GMT 2022","Thu Mar 17 06:42:43 GMT 2022","3142","chromium","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Thu Mar 17 06:42:43 GMT 2022","Thu Mar 17 06:42:44 GMT 2022","1272","chromium","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Thu Mar 17 06:43:18 GMT 2022","Thu Mar 17 06:43:20 GMT 2022","2324","webkit","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Thu Mar 17 06:42:52 GMT 2022","Thu Mar 17 06:42:55 GMT 2022","2862","firefox","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Thu Mar 17 06:42:35 GMT 2022","Thu Mar 17 06:42:36 GMT 2022","757","chromium","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Thu Mar 17 06:43:06 GMT 2022","Thu Mar 17 06:43:09 GMT 2022","3221","webkit","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Thu Mar 17 06:43:09 GMT 2022","Thu Mar 17 06:43:18 GMT 2022","8932","webkit","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
