"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 16:10:41 GMT 2022","Sun Mar 13 16:10:44 GMT 2022","2433","firefox","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 16:11:17 GMT 2022","Sun Mar 13 16:11:19 GMT 2022","2507","webkit","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 16:11:08 GMT 2022","Sun Mar 13 16:11:17 GMT 2022","8873","webkit","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 16:10:49 GMT 2022","Sun Mar 13 16:10:52 GMT 2022","2895","firefox","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 16:10:52 GMT 2022","Sun Mar 13 16:10:54 GMT 2022","2004","firefox","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 16:11:04 GMT 2022","Sun Mar 13 16:11:08 GMT 2022","3478","webkit","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 16:10:34 GMT 2022","Sun Mar 13 16:10:36 GMT 2022","1940","chromium","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 16:10:55 GMT 2022","Sun Mar 13 16:11:01 GMT 2022","5803","webkit","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 16:10:36 GMT 2022","Sun Mar 13 16:10:40 GMT 2022","3198","chromium","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 16:11:01 GMT 2022","Sun Mar 13 16:11:04 GMT 2022","2962","webkit","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 16:10:45 GMT 2022","Sun Mar 13 16:10:47 GMT 2022","1811","firefox","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 16:10:40 GMT 2022","Sun Mar 13 16:10:41 GMT 2022","1342","chromium","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 16:10:31 GMT 2022","Sun Mar 13 16:10:32 GMT 2022","819","chromium","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 16:10:47 GMT 2022","Sun Mar 13 16:10:49 GMT 2022","2395","firefox","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 16:10:33 GMT 2022","Sun Mar 13 16:10:34 GMT 2022","1570","chromium","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
